,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'CNET'}",Katie Collins,"For Progress on Climate and Energy in 2025, Think Local","As Trump and his anti-science agenda head for the White House, look to America's city and state leaders to drive climate action and prioritize clean energy.",https://www.cnet.com/home/energy-and-utilities/for-progress-on-climate-and-energy-in-2025-think-local/,https://www.cnet.com/a/img/resize/5fa89cffd3d573f39b4cf70398e5bb4b3038a2d7/hub/2024/12/31/540a7c2e-63f9-445f-a311-5744bcce16a2/us-map-localized-energy-progress.jpg?auto=webp&fit=crop&height=675&width=1200,2025-01-03T13:00:00Z,"With its sprawling canopy of magnolia, dogwood, southern pine and oak trees, Atlanta is known as the city in the forest. The lush vegetation helps offset the pollution from the commuter traffic as pe… [+16751 chars]"
1,"{'id': 'time', 'name': 'Time'}",Will Weissert and Chris Megerian / AP,Trump to Visit Disaster-Stricken California and North Carolina for First Presidential Trip,President Trump is heading to hurricane-battered North Carolina and wildfire-ravaged Los Angeles for the first trip of his second administration.,https://time.com/7209700/trump-los-angeles-wildfires-north-carolina-hurricane-helene-trip-visit/,https://api.time.com/wp-content/uploads/2025/01/Trump-L.A.jpg?quality=85&w=1024&h=628&crop=1,2025-01-24T06:30:00Z,"WASHINGTON President Donald Trump is heading to hurricane-battered western North Carolina and wildfire-ravaged Los Angeles on Friday, using the first trip of his second administration to tour areas w… [+5814 chars]"
2,"{'id': None, 'name': 'Politicopro.com'}","Blanca Begert, Camille von Kaenel, Thomas Frank, Zack Colman, E&E News",Los Angeles Fires Could Push California’s Insurance System to the Brink,Damages from the recent fires in the Los Angeles area could overwhelm California’s already stressed insurer of last resort,https://subscriber.politicopro.com/article/eenews/2025/01/09/this-could-be-the-beginning-of-the-end-for-fire-insurance-in-california-ee-00197248,https://static.scientificamerican.com/dam/m/12892f470030d524/original/cyclist_pedals_past_burning_homes_in_malibu_california.jpg?m=1736455602.678&w=1200,2025-01-09T21:15:00Z,"CLIMATEWIRE | LOS ANGELES — Wednesday's firestorm in a wealthy area of Los Angeles could be the final straw that breaks California's insurance market.
The state's insurance market has been teetering… [+6034 chars]"
3,"{'id': None, 'name': 'Scientific American'}",Tanya Lewis,Outrage Fatigue Is Real. Here's Why We Feel It and How to Cope,Repeated exposure to outrage-inducing news or events can lead to emotional exhaustion. An expert who studies online outrage says there are ways to cope,https://www.scientificamerican.com/article/outrage-fatigue-is-real-heres-why-we-feel-it-and-how-to-cope/,https://static.scientificamerican.com/dam/m/5998fe3215c88947/original/head_back_legs_on_fire_apathy_outrage_fatigue_concept.jpg?m=1734984342.245&w=1200,2024-12-30T11:45:00Z,"You’re probably feeling it: the onslaught of depressing news and commentary about political actions, wars, climate disasters and more. The first few times you’re exposed to a perceived injustice, you… [+10355 chars]"
4,"{'id': None, 'name': 'Vox'}",Benji Jones,Why does Trump hate this tiny fish so much?,"As devastating wildfires continue to burn through Los Angeles, so far killing at least 10 people and forcing well over 100,000 people to evacuate, or try to, President-elect Donald Trump has decided to point his ire toward a fish. Not the severe Santa Ana win…",https://www.vox.com/down-to-earth/394283/los-angeles-wildfires-trump-newsom-delta-smelt,"https://platform.vox.com/wp-content/uploads/sites/2/2025/01/natdiglib_11588_extralarge.jpg?quality=90&strip=all&crop=0,15.095986038394,100,69.808027923211",2025-01-10T15:45:41Z,"As devastating wildfires continue to burn through Los Angeles, so far killing at least 10 people and forcing well over 100,000 people to evacuate, or try to, President-elect Donald Trump has decided … [+9122 chars]"
5,"{'id': None, 'name': 'Vox'}","Bryan Walsh, Dylan Matthews, Marina Bolotnikova, Sigal Samuel, Kenny Torrella, Izzie Ramirez",The 14 predictions that came true in 2024 — and the 10 that didn’t,"Making predictions is a tricky business, and here at Future Perfect, we don’t pretend to have a crystal ball. But we do think there’s real epistemic value in putting our forecasts out there and — just as importantly — owning up to how they turned out. (Someth…",https://www.vox.com/future-perfect/391440/2024-predictions-revisited-trump-politics-tech,https://platform.vox.com/wp-content/uploads/sites/2/2024/12/TimLahan_Vox_LookingBackat2024Predictions.png?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-01-02T15:25:33Z,"Making predictions is a tricky business, and here at Future Perfect, we don’t pretend to have a crystal ball. But we do think there’s real epistemic value in putting our forecasts out there and — jus… [+29921 chars]"
6,"{'id': None, 'name': 'Quartz India'}",Peter Green,Meet the men Donald Trump has picked to manage the U.S. economy,"Since winning the election on Nov. 5, Donald Trump has moved remarkably, if not unexpectedly, quickly to name his picks for top leadership posts in his administration. While Trump’s campaign rhetoric suggested a strong America-first, strong-dollar, tariff-led…",https://qz.com/donald-trump-economic-cabinet-1851729552,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/ca079331cc75c7d58a3bf86cb23def53.webp",2024-12-30T10:00:00Z,"Since winning the election on Nov. 5, Donald Trump has moved remarkably, if not unexpectedly, quickly to name his picks for top leadership posts in his administration. While Trumps campaign rhetoric … [+11924 chars]"
7,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,US President Trump threatens to abolish FEMA during tour of North Carolina,"After visiting hurricane-ravaged North Carolina, the Republican leader travelled to California to inspect fire response.",https://www.aljazeera.com/gallery/2025/1/24/us-president-trump-threatens-to-abolish-fema-during-tour-of-north-carolina,https://www.aljazeera.com/wp-content/uploads/2025/01/AP25024656224891-1737743941.jpg?resize=1920%2C1440,2025-01-24T22:13:12Z,"United States President Donald Trump has attacked the Federal Emergency Management Agency, known as FEMA, threatening to dismantle the organisation altogether.
In a visit to hurricane-ravaged North … [+3336 chars]"
8,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera Staff,Biden delivers final foreign policy speech as Gaza ceasefire talks continue,US president seeks to defend legacy on the global stage before Donald Trump takes office on January 20.,https://www.aljazeera.com/news/2025/1/13/biden-delivers-final-foreign-policy-speech-as-gaza-ceasefire-talks-continue,https://www.aljazeera.com/wp-content/uploads/2025/01/2025-01-13T203558Z_1347486761_RC279CA6ARKV_RTRMADP_3_USA-BIDEN-1736801909.jpg?resize=1920%2C1440,2025-01-13T22:48:10Z,"Washington, DC United States President Joe Biden has delivered a soaring speech defending his administrations foreign policy, just days before President-elect Donald Trump is set to take office.
Mon… [+6797 chars]"
9,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",AJLabs,"News, songs, movies and games: What the world searched for in 2024",Al Jazeera breaks down the top trends and most searched terms on Google in 2024.,https://www.aljazeera.com/news/2024/12/28/news-songs-movies-and-games-what-the-world-searched-for-in-2024,https://www.aljazeera.com/wp-content/uploads/2024/12/INTERACTIVE_COVER_WHAT_THE_WORLD_SEARCHED_FOR-1735206333.png?resize=1200%2C630,2024-12-28T03:15:05Z,"Every December, Google publishes its Year in Search, a revealing capsule of the most searched topics reflecting the collective curiosity of the world and what they typed into the famous search bar.
… [+5178 chars]"
10,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera Staff,Beyond the US election: Seven stories that shaped the Americas in 2024,"The region has faced economic crises, a disputed vote in Venezuela, gangs in Haiti and cartel violence in Mexico.",https://www.aljazeera.com/news/2024/12/29/beyond-the-us-election-seven-stories-that-shaped-the-americas-in-2024,https://www.aljazeera.com/wp-content/uploads/2024/12/s1-1735192253.jpg?resize=1920%2C1440,2024-12-29T17:31:13Z,"The presidential election in the United States has dominated global headlines for much of the past year.
From opinion polls to rallies and the barbs traded on the campaign trail, all eyes were turne… [+10214 chars]"
11,"{'id': None, 'name': 'The New Republic'}",Will Peischel,This Bill to Reduce Wildfires Might Actually Make Them Worse,"The Fix Our Forests Act, which breezed through a House vote last week, represents a “return to common sense,” according to Speaker Mike Johnson. “The reason this is so important is because we see what happened in California,” Johnson said. The recent wildfire…",https://newrepublic.com/article/190628/fix-our-forests-act-california-logging,https://images.newrepublic.com/79e2c978a71ddea759e3589afbd167f299e69b80.jpeg?w=1200&h=630&crop=faces&fit=crop&fm=jpg,2025-01-27T11:00:00Z,"FOFA is a trojan horse for Republicans to weaken environmental law to serve industry interests, Earthjustices Blaine Miller-McFeeley told me. Miller-McFeeleys view of the bill as a gift to logging co… [+1703 chars]"
12,"{'id': None, 'name': 'Grist'}","Matt Simon, Izzy Ross",How states will keep fighting for climate progress under Trump,"Trump calls climate change a hoax. But at the state level, the climate fight will continue — or even accelerate.",http://grist.org/solutions/how-states-will-keep-fighting-for-climate-progress-under-trump/,https://grist.org/wp-content/uploads/2025/01/trump-climate-states-solar-arizona-navajo-nation.jpeg?quality=75&strip=all,2025-01-15T09:30:00Z,"This coverage is made possible in part through a partnership with Grist and Interlochen Public Radio in northern Michigan.
Even before President-elect Donald Trump’s return to the White House next M… [+9997 chars]"
13,"{'id': None, 'name': 'Nakedcapitalism.com'}",Lambert Strether,Links 1/12/2025,Our fire-breaking daily links.,https://www.nakedcapitalism.com/2025/01/links-1-12-2025.html,https://www.nakedcapitalism.com/wp-content/uploads/2025/01/lion_in_tree.jpg,2025-01-12T11:58:01Z,"Why sabre-toothed animals evolved again and again New Scientist
California Burning
Los Angeles fires: the damage in maps, video and images Guardian
NASA Jet Propulsion Laboratory evacuated due to … [+7312 chars]"
14,"{'id': None, 'name': 'Nakedcapitalism.com'}",Yves Smith,"Self-Selection and Self-Censorship on Campus, and the FIRE Report",A new study tries to find out how extensive self-censorship is among university teaching staff.,https://www.nakedcapitalism.com/2025/01/self-selection-and-self-censorship-on-campus-and-the-fire-report.html,https://www.nakedcapitalism.com/wp-content/uploads/2024/12/00-censorship.jpeg,2025-01-01T11:00:21Z,"Yves here. Rajiv Sethi reviews and raises questions about a recent survey of political views and self-censorship among teaching faculty at 55 universities. Not surprisingly, quite a few report believ… [+8571 chars]"
15,"{'id': None, 'name': 'Nakedcapitalism.com'}",Yves Smith,How Trump 2.0 Could Herald a New Age of Authoritarian Capitalism,"To discuss: ""Trump’s weaponisation of US power poses a threat to peace, prosperity and the planet.""",https://www.nakedcapitalism.com/2025/01/how-trump-2-0-could-herald-a-new-age-of-authoritarian-capitalism.html,https://www.nakedcapitalism.com/wp-content/uploads/2025/01/000-trum.png,2025-01-21T10:24:08Z,Yves here. It seemed appropriate to go with the news flow and thus provide an extra helping of Trump coverage. Please filter out the upset in the opening paragraphs about the right wing around the wo… [+33785 chars]
