Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 6199,https://www.congress.gov/bill/102nd-congress/house-bill/6199,102nd Congress (1991-1992),To establish a voluntary environmental response program to encourage the expeditious remediation of contaminated sites.,"Lent, Norman F. [Rep.-R-NY-4] (Introduced 10/06/1992)",10/6/1992,"House - Energy and Commerce, Public Works and Transportation, Science, Space and Technology",Referred to the Subcommittee on Transportation and Hazardous Materials.,11/20/1992,0,,,,,
H.R. 6134,https://www.congress.gov/bill/102nd-congress/house-bill/6134,102nd Congress (1991-1992),"To reauthorize and amend the Endangered Species Act of 1973 in order to improve and protect the integrity of its programs for the conservation of threatened and endangered species, to ensure balanced consideration of all impacts of decisions implementing the Act, to provide for equitable treatment of non-federal parties and federal agencies under the Act, to encourage non-federal parties to contribute voluntarily to species conservation, and for other purposes.","Tauzin, W. J. (Billy) [Rep.-D-LA-3] (Introduced 10/05/1992)",10/5/1992,House - Merchant Marine and Fisheries,Referred to the House Committee on Merchant Marine and Fisheries.,10/5/1992,22,,,,,
H.R. 6123,https://www.congress.gov/bill/102nd-congress/house-bill/6123,102nd Congress (1991-1992),"To amend the Endangered Species Act of 1973 to require the preparation of economic impact analyses with respect to certain actions to protect endangered species and threatened species, to provide compensation for economic losses incurred under that Act, and to authorize appropriations to carry out that Act through fiscal year 1997.","Thomas, William M. [Rep.-R-CA-20] (Introduced 10/03/1992)",10/3/1992,House - Merchant Marine and Fisheries,Referred to the Subcommittee on Fisheries and Wildlife Conservation and the Environment.,10/3/1992,0,,,,,
H.R. 6116,https://www.congress.gov/bill/102nd-congress/house-bill/6116,102nd Congress (1991-1992),To amend subtitle D of the Solid Waste Disposal Act to require the Administrator of the Environmental Protection Agency to promulgate regulations governing the placement and operation of solid waste transfer stations.,"Ackerman, Gary L. [Rep.-D-NY-7] (Introduced 10/03/1992)",10/3/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,10/15/1992,0,,,,,
H.R. 6062,https://www.congress.gov/bill/102nd-congress/house-bill/6062,102nd Congress (1991-1992),To promote the growth of environmental science and technology in the United States.,"Engel, Eliot L. [Rep.-D-NY-19] (Introduced 09/30/1992)",9/30/1992,"House - Science, Space and Technology",Referred to the Subcommittee on Environment.,10/6/1992,0,,,,,
H.R. 6060,https://www.congress.gov/bill/102nd-congress/house-bill/6060,102nd Congress (1991-1992),To establish certain environmental protection procedures within the area comprising the border region between the United States and the Republic of Mexico.,"Bustamante, Albert G. [Rep.-D-TX-23] (Introduced 09/30/1992)",9/30/1992,"House - Foreign Affairs, Energy and Commerce, Public Works and Transportation",Referred to the Subcommittee on Health and the Environment.,12/22/1992,0,,,,,
H.R. 6033,https://www.congress.gov/bill/102nd-congress/house-bill/6033,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to authorize States to restrict out-of-State municipal waste, and for other purposes.","Wyden, Ron [Rep.-D-OR-3] (Introduced 09/25/1992)",9/25/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,10/15/1992,14,,,,,
H.R. 6028,https://www.congress.gov/bill/102nd-congress/house-bill/6028,102nd Congress (1991-1992),To save Florida Bay.,"Shaw, E. Clay, Jr. [Rep.-R-FL-15] (Introduced 09/24/1992)",9/24/1992,"House - Interior and Insular Affairs, Merchant Marine and Fisheries, Public Works and Transportation","Referred to the Subcommittee on Water, Power and Offshore Energy Resources.",10/30/1992,20,,,,,
H.R. 6004,https://www.congress.gov/bill/102nd-congress/house-bill/6004,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to extend the deadline by which permits for discharges for municipal and industrial stormwater discharges are required until October 1, 1994.","Hammerschmidt, John P. [Rep.-R-AR-3] (Introduced 09/23/1992)",9/23/1992,House - Public Works and Transportation | Senate - Environment and Public Works,Received in the Senate and read twice and referred to the Committee on Environment and Public Works.,9/29/1992,24,,,,,
H.R. 5990,https://www.congress.gov/bill/102nd-congress/house-bill/5990,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to provide for assessments of contaminated sediments at areas of concern in the Great Lakes, and for other purposes.","Nowak, Henry [Rep.-D-NY-33] (Introduced 09/22/1992)",9/22/1992,House - Public Works and Transportation | Senate - Environment and Public Works,Received in the Senate and read twice and referred to the Committee on Environment and Public Works.,9/29/1992,0,,,,,
H.R. 5969,https://www.congress.gov/bill/102nd-congress/house-bill/5969,102nd Congress (1991-1992),To establish a National Commission on the Conservation of Biological Resources.,"Hoagland, Peter [Rep.-D-NE-2] (Introduced 09/17/1992)",9/17/1992,House - Merchant Marine and Fisheries,Referred to the Subcommittee on Fisheries and Wildlife Conservation and the Environment.,10/1/1992,0,,,,,
H.R. 5959,https://www.congress.gov/bill/102nd-congress/house-bill/5959,102nd Congress (1991-1992),"To establish the Office of National Environmental Technologies, and for other purposes.","Kennedy, Joseph P., II [Rep.-D-MA-8] (Introduced 09/16/1992)",9/16/1992,"House - Banking, Finance, and Urban Affairs, Judiciary, Science, Space and Technology",Referred to the Subcommittee on Intellectual Property and Judicial Administration.,10/9/1992,0,,,,,
H.R. 5937,https://www.congress.gov/bill/102nd-congress/house-bill/5937,102nd Congress (1991-1992),"To establish a demonstration program to encourage the full restoration of the Ballona Wetlands, Los Angeles, California, and for other purposes.","Anderson, Glenn M. [Rep.-D-CA-32] (Introduced 09/15/1992)",9/15/1992,"House - Merchant Marine and Fisheries, Public Works and Transportation",Referred to the Subcommittee on Fisheries and Wildlife Conservation and the Environment.,10/1/1992,4,,,,,
H.R. 5875,https://www.congress.gov/bill/102nd-congress/house-bill/5875,102nd Congress (1991-1992),"To establish the National Environmental Sciences and Technology Agency, and for other purposes.","Pallone, Frank, Jr. [Rep.-D-NJ-3] (Introduced 08/12/1992)",8/12/1992,"House - Science, Space and Technology",Referred to the Subcommittee on Environment.,8/31/1992,2,,,,,
H.R. 5874,https://www.congress.gov/bill/102nd-congress/house-bill/5874,102nd Congress (1991-1992),Brownsville Wetlands Policy Act of 1992,"Ortiz, Solomon P. [Rep.-D-TX-27] (Introduced 08/12/1992)",8/12/1992,House - Merchant Marine and Fisheries | Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,10/8/1992,0,,,,,
H.R. 5863,https://www.congress.gov/bill/102nd-congress/house-bill/5863,102nd Congress (1991-1992),"To amend title I of the Marine Protection Research, and Sanctuaries Act of 1972 to ensure that land-based management alternatives for sewage sludge are protective of human health and the environment.","Manton, Thomas J. [Rep.-D-NY-9] (Introduced 08/12/1992)",8/12/1992,"House - Energy and Commerce, Merchant Marine and Fisheries, Public Works and Transportation",Referred to the Subcommittee on Transportation and Hazardous Materials.,9/14/1992,1,,,,,
H.R. 5857,https://www.congress.gov/bill/102nd-congress/house-bill/5857,102nd Congress (1991-1992),To provide for standards for the cleanup of domestic nuclear energy industry facilities and other radiologically contaminated sites.,"Kostmayer, Peter H. [Rep.-D-PA-8] (Introduced 08/12/1992)",8/12/1992,"House - Energy and Commerce, Interior and Insular Affairs",Referred to the Subcommittee on Transportation and Hazardous Materials.,10/15/1992,0,,,,,
H.R. 5818,https://www.congress.gov/bill/102nd-congress/house-bill/5818,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to provide assistance to States for the purpose of restoring the water quality and biological integrity of small lakes, and for other purposes.","Jontz, Jim [Rep.-D-IN-5] (Introduced 08/11/1992)",8/11/1992,House - Public Works and Transportation,Referred to the Subcommittee on Water Resources.,8/24/1992,0,,,,,
H.R. 5801,https://www.congress.gov/bill/102nd-congress/house-bill/5801,102nd Congress (1991-1992),"To implement the Protocol on Environmental Protection to the Antarctic Treaty, with annexes, done at Madrid October 4, 1991, and an additional annex done at Bonn October 17, 1991, enact a prohibition against Antarctic mineral resource activities, amend the Antarctic Conservation Act of 1978, and repeal the Antarctic Protection Act of 1990.","Boucher, Rick [Rep.-D-VA-9] (Introduced 08/10/1992)",8/10/1992,"House - Interior and Insular Affairs, Merchant Marine and Fisheries, Science, Space and Technology",Referred to the Subcommittee On Insular and International Affairs.,9/24/1992,1,,,,,
